time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447000000	18.9084	7.34521	4.99001	1.00358	0.359404	lidar	5.09501	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9862	7.56988	4.96526	1.06469	0.451384	radar	4.46109	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0794	7.81449	4.97897	1.10389	0.472736	lidar	0.457911	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.1979	8.02849	4.97582	1.11777	0.453486	radar	0.429415	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2797	8.23815	4.95073	1.1466	0.463517	lidar	1.73611	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3769	8.45496	4.94421	1.15935	0.434426	radar	2.50925	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4767	8.60837	4.87263	1.16312	0.416542	lidar	5.74114	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5613	8.82897	4.86256	1.19326	0.440612	radar	0.795305	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7323	8.993	4.83067	1.16738	0.380558	lidar	5.04448	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7967	9.22642	4.8256	1.21308	0.438519	radar	1.00977	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9348	9.43375	4.82517	1.2074	0.402398	lidar	2.76646	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9689	9.67124	4.81241	1.27062	0.495104	radar	2.72511	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0612	9.89442	4.81241	1.28365	0.479787	lidar	0.518263	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.12	10.1418	4.83012	1.30452	0.458853	radar	6.7648	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1712	10.3953	4.84837	1.33482	0.466916	lidar	0.308521	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1807	10.6387	4.84106	1.3928	0.53763	radar	2.69527	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2427	10.8937	4.86327	1.41219	0.526226	lidar	1.55613	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2727	11.1465	4.87694	1.43493	0.506969	radar	4.78322	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3079	11.3797	4.86889	1.45708	0.50373	lidar	0.060724	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2464	11.6331	4.86307	1.55116	0.647489	radar	9.75627	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3196	11.8675	4.862	1.5517	0.608168	lidar	5.02274	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3497	12.1027	4.85858	1.54085	0.503757	radar	4.24834	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3404	12.3742	4.88853	1.57321	0.509352	lidar	0.840611	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.287	12.6147	4.88084	1.64211	0.606868	radar	2.81821	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.312	12.8526	4.87561	1.65292	0.583703	lidar	1.98064	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2988	13.0876	4.86742	1.67837	0.581468	radar	2.13726	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2608	13.3044	4.8416	1.71088	0.588284	lidar	1.18618	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2224	13.5411	4.83936	1.73218	0.561546	radar	1.39509	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2051	13.7922	4.85074	1.74976	0.547802	lidar	1.24499	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1472	14.0224	4.84414	1.7888	0.575932	radar	0.808062	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0946	14.2701	4.85671	1.81576	0.572499	lidar	0.271623	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0226	14.5001	4.85368	1.8452	0.566897	radar	1.39403	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9176	14.745	4.87466	1.88703	0.580939	lidar	1.09856	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8507	14.967	4.86187	1.89833	0.533368	radar	3.45429	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8191	15.1899	4.84226	1.90623	0.513084	lidar	2.2598	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6827	15.3986	4.84104	2.00074	0.689512	radar	7.39022	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.646	15.5972	4.79874	2.01141	0.665239	lidar	4.09775	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5507	15.8079	4.78943	2.03338	0.636672	radar	1.56376	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4474	16.0177	4.78418	2.06298	0.634553	lidar	0.0455638	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3454	16.2306	4.77948	2.0698	0.566223	radar	2.0499	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2337	16.4109	4.74934	2.10041	0.571852	lidar	1.03199	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1128	16.611	4.74575	2.12985	0.575366	radar	0.323007	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9872	16.8144	4.7486	2.15681	0.572962	lidar	0.0440387	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8297	17.0033	4.75905	2.22605	0.68433	radar	6.0006	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6654	17.2226	4.79948	2.25927	0.679418	lidar	1.53392	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5621	17.4344	4.78693	2.22547	0.509201	radar	6.35975	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3572	17.616	4.81369	2.27084	0.529985	lidar	3.72583	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2194	17.8098	4.80857	2.26669	0.449316	radar	1.92308	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0895	17.999	4.79856	2.2794	0.438774	lidar	0.890746	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9106	18.1529	4.79106	2.33217	0.513291	radar	2.41387	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7741	18.3038	4.75309	2.3532	0.510627	lidar	1.30155	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6371	18.4883	4.74578	2.3588	0.476263	radar	6.54608	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4512	18.6632	4.76504	2.38485	0.477552	lidar	0.335671	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.267	18.8052	4.75722	2.42603	0.518357	radar	1.95853	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1031	18.9452	4.73327	2.45056	0.518331	lidar	0.483933	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9354	19.1157	4.73785	2.4611	0.490284	radar	2.89434	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7207	19.2291	4.73334	2.50279	0.51078	lidar	2.81012	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5317	19.3803	4.74264	2.5292	0.522143	radar	3.18668	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3162	19.5331	4.77289	2.55473	0.519335	lidar	0.759037	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.091	19.6165	4.76225	2.61213	0.580129	radar	10.129	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8891	19.7567	4.77444	2.63275	0.569395	lidar	0.75306	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.698	19.8852	4.76148	2.62929	0.485475	radar	3.18238	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
